Time (s),Voltage (V)
-0.0010999999999999998,6.4
-0.0010979999999999998,6.48
-0.001096,6.4
-0.001094,6.56
-0.0010919999999999999,6.48
-0.0010899999999999998,6.4
-0.001088,6.4
-0.001086,6.48
-0.001084,6.48
-0.0010819999999999998,6.32
-0.0010799999999999998,6.4
-0.001078,6.48
-0.001076,6.4
-0.0010739999999999999,6.48
-0.0010719999999999998,6.4
-0.00107,6.48
-0.001068,6.48
-0.0010659999999999999,6.4
-0.0010639999999999998,6.48
-0.001062,6.4
-0.00106,6.48
-0.001058,6.4
-0.0010559999999999999,6.48
-0.0010539999999999998,6.4
-0.001052,6.48
-0.00105,6.16
-0.0010479999999999999,6.4
-0.0010459999999999998,5.2
-0.0010439999999999998,5.28
-0.001042,4.24
-0.00104,4.24
-0.0010379999999999999,3.28
-0.0010359999999999998,3.36
-0.001034,2.48
-0.001032,2.48
-0.0010299999999999999,1.68
-0.0010279999999999998,1.76
-0.001026,0.96
-0.001024,1.04
-0.001022,0.32
-0.0010199999999999999,0.4
-0.0010179999999999998,-0.32
-0.001016,-0.16
-0.001014,-0.8
-0.0010119999999999999,-0.72
-0.0010099999999999998,-1.28
-0.0010079999999999998,-1.2
-0.001006,-1.76
-0.001004,-1.6
-0.0010019999999999999,-2.16
-0.001,-2.0
-0.000998,-2.48
-0.000996,-2.4
-0.0009939999999999999,-2.88
-0.0009919999999999998,-2.8
-0.00099,-3.12
-0.000988,-3.12
-0.000986,-3.52
-0.0009839999999999998,-3.36
-0.0009819999999999998,-3.76
-0.00098,-3.6
-0.000978,-4.0
-0.0009759999999999999,-3.84
-0.0009739999999999999,-4.24
-0.0009719999999999999,-4.08
-0.0009699999999999999,-4.4
-0.0009679999999999999,-4.24
-0.0009659999999999998,-4.56
-0.0009639999999999999,-4.4
-0.000962,-4.72
-0.0009599999999999999,-4.56
-0.0009579999999999999,-4.88
-0.0009559999999999999,-4.72
-0.000954,-5.04
-0.0009519999999999999,-4.88
-0.0009499999999999999,-5.2
-0.0009479999999999998,-5.12
-0.0009459999999999999,-5.28
-0.000944,-5.2
-0.0009419999999999999,-5.36
-0.0009399999999999999,-5.28
-0.0009379999999999999,-5.6
-0.000936,-5.36
-0.0009339999999999999,-5.6
-0.0009319999999999999,-5.52
-0.0009299999999999998,-5.68
-0.0009279999999999999,-5.6
-0.000926,-5.84
-0.0009239999999999999,-5.6
-0.0009219999999999999,-5.84
-0.0009199999999999999,-5.68
-0.000918,-5.92
-0.0009159999999999999,-5.76
-0.0009139999999999999,-6.0
-0.0009119999999999998,-5.84
-0.0009099999999999999,-6.08
-0.000908,-5.84
-0.0009059999999999999,-6.08
-0.0009039999999999999,-5.92
-0.0009019999999999999,-6.16
